number,value,datetime_start,datetime_complete,duration,params_batch_size,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_attn_dim,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_sat_use_attention,params_weight_decay,state
34,,2026-02-03 19:46:20.494091,,,64,0.10179958402883334,0.005514102594996612,0.556594188489771,6,4.272494137026911,16,64,32,64,16,2,False,0.00018608694639773985,RUNNING
35,0.018571598689874118,2026-02-03 23:59:30.606743,2026-02-04 00:18:19.706671,0 days 00:18:49.099928,64,0.10661997157706828,0.0017707803375426182,0.6705852150741716,8,4.360509851799415,16,64,32,64,16,2,False,0.00019506490894042485,PRUNED
36,0.0401014406915408,2026-02-04 00:18:19.718756,2026-02-04 00:24:36.839783,0 days 00:06:17.121027,64,0.3480261296883128,0.004977252903606323,0.6001772506692057,6,3.962385465949262,16,64,32,64,16,3,True,0.0004471266987681832,PRUNED
37,0.019865969595595515,2026-02-04 00:24:36.847195,2026-02-04 00:43:31.702097,0 days 00:18:54.854902,64,0.21321569230840598,0.00046853956162449384,0.6410376296462612,7,4.567477395577102,16,64,32,32,16,3,False,0.00024747562328780715,PRUNED
38,0.03360527232120476,2026-02-04 00:43:31.712526,2026-02-04 00:49:56.649521,0 days 00:06:24.936995,64,0.4147369851555571,0.0031999995015979327,0.5525204854479109,5,4.988434026501657,32,64,32,64,16,2,False,0.0009390260089830615,PRUNED
39,0.016027516132481722,2026-02-04 00:49:56.660122,2026-02-04 00:57:58.879379,0 days 00:08:02.219257,32,0.21508379434760583,0.0009719625040577791,0.6120765520920353,6,4.757036004242247,16,16,64,32,32,1,False,7.550814036538066e-05,COMPLETE
40,0.020857336719581593,2026-02-04 00:57:58.889771,2026-02-04 01:11:11.623043,0 days 00:13:12.733272,64,0.3411606886541335,0.006288723579572827,0.5172432135741436,4,1.5696364444749389,16,64,32,128,16,2,True,4.955371221196108e-05,PRUNED
41,0.01699590941064371,2026-02-04 01:11:11.632778,2026-02-04 01:23:04.886779,0 days 00:11:53.254001,64,0.19661101829912564,0.0001975028459286854,0.6399860839515423,9,0.9891471961965144,32,16,32,64,32,3,False,0.00014297473148354548,PRUNED
42,0.027619466512994923,2026-02-04 01:23:04.897376,2026-02-04 01:28:00.616479,0 days 00:04:55.719103,128,0.49986979000787707,0.0014942887937194425,0.5633690796274633,5,3.6201937841327396,64,32,32,128,16,2,True,0.0004740733561564086,PRUNED
43,0.028305265465772396,2026-02-04 01:28:00.627329,2026-02-04 01:35:16.205636,0 days 00:07:15.578307,64,1.9951926741138495,0.0005610121938275852,0.5255468973355516,8,1.9496117193932914,16,64,64,64,64,1,False,2.9623208934407828e-05,PRUNED
44,0.05339433050326407,2026-02-04 01:35:16.221882,2026-02-04 01:42:03.432660,0 days 00:06:47.210778,32,1.7865331183742814,0.0025989139846996413,0.6760782296753709,3,3.0672172032654457,16,32,128,128,16,2,False,6.935262326440282e-06,PRUNED
45,0.014070039012343627,2026-02-04 01:42:03.441279,2026-02-04 01:54:15.610256,0 days 00:12:12.168977,64,0.1012518654057562,0.0012467022897410759,0.5827949090346918,7,4.705979646571847,16,64,32,64,16,2,False,0.0004828602834168631,COMPLETE
46,0.015923998485641615,2026-02-04 01:54:15.620385,2026-02-04 02:05:11.975304,0 days 00:10:56.354919,64,0.10045305001327355,0.0008782613487327709,0.4715233688358197,7,4.718346614560875,16,64,32,64,16,2,False,0.0008621637844587736,COMPLETE
47,0.03710957092204963,2026-02-04 02:05:11.986123,2026-02-04 02:11:59.576833,0 days 00:06:47.590710,64,0.39339196845368124,0.004285542852471666,0.6186515264631213,7,4.2708547055173165,16,64,32,64,16,2,False,0.0005643918758129538,PRUNED
48,0.02115368807893976,2026-02-04 02:11:59.586829,2026-02-04 02:20:36.556994,0 days 00:08:36.970165,64,0.27628924547980704,0.0067626206283006515,0.6380977391180703,6,4.828959039757886,32,64,32,64,16,2,False,0.0001920306285021994,PRUNED
49,0.01464549392942965,2026-02-04 02:20:36.566365,2026-02-04 02:38:02.434652,0 days 00:17:25.868287,64,0.18404734893451818,0.0005159178966177222,0.5402327579699989,8,2.4810797137174085,16,64,32,64,64,2,False,3.884984584701743e-05,COMPLETE
50,0.016000921745124606,2026-02-04 02:38:02.444675,2026-02-04 02:45:33.894922,0 days 00:07:31.450247,64,0.20949500989254521,0.0004761749477760031,0.5423811436920812,9,2.0196846338814556,64,16,32,64,64,2,True,3.84456315801113e-05,COMPLETE
51,0.018803196488863038,2026-02-04 02:45:33.904657,2026-02-04 02:58:38.462725,0 days 00:13:04.558068,128,0.17419338435363296,0.0002405690575735291,0.46391996249074813,10,2.3981476835440843,16,32,32,32,64,1,False,2.7511422800164933e-05,PRUNED
52,0.022003773086263827,2026-02-04 02:58:38.471293,2026-02-04 03:09:08.508899,0 days 00:10:30.037606,64,0.3648024118009616,0.0006993600598828144,0.6842895090726845,8,2.4689756568350094,16,64,128,64,64,2,False,1.3442112128883123e-05,PRUNED
53,0.024204525647352683,2026-02-04 03:09:08.518336,2026-02-04 03:14:20.267903,0 days 00:05:11.749567,64,1.4302838000782667,0.001851720618487641,0.5665252290934205,9,2.6131790368150245,16,32,32,128,64,3,False,5.056166831994933e-05,PRUNED
54,0.14228134958556493,2026-02-04 03:14:20.276563,2026-02-04 03:21:07.279107,0 days 00:06:47.002544,64,0.26417763895327173,1.5367178761981126e-05,0.38352708019027626,8,3.507855843821286,32,64,32,64,64,2,True,0.00010970542055382808,PRUNED
55,0.02033114767007472,2026-02-04 03:21:07.289041,2026-02-04 03:41:41.313073,0 days 00:20:34.024032,64,0.15484815384508405,0.0011603311621459734,0.5859576400169364,7,4.1011744718586804,16,64,32,64,32,2,False,0.00014472630371548483,PRUNED
56,0.014109284013561608,2026-02-04 03:41:41.323231,2026-02-04 03:57:01.612879,0 days 00:15:20.289648,64,0.10134389028013142,0.00040513206624692813,0.5214116899295648,7,4.416800558476058,16,64,32,64,64,2,False,0.0003813749118709539,COMPLETE
57,0.024946796562336927,2026-02-04 03:57:01.622957,2026-02-04 04:03:43.412179,0 days 00:06:41.789222,64,0.2411561559870583,0.00015582661388434193,0.5254989244512658,8,4.371074957524985,16,64,32,64,64,2,False,0.0007131731763789642,PRUNED
58,0.01703097051936336,2026-02-04 04:03:43.421918,2026-02-04 04:24:33.634595,0 days 00:20:50.212677,64,0.17799830672097594,0.00041962932621507484,0.48775963517581417,6,3.9875854999760634,16,64,32,64,64,2,False,3.739089519580511e-05,PRUNED
59,0.026392042268518035,2026-02-04 04:24:33.644054,2026-02-04 04:29:13.409488,0 days 00:04:39.765434,64,0.4902908775902173,8.451479502433313e-05,0.5072348370943242,7,1.8324463014809984,16,32,32,64,64,2,False,6.880944864420542e-05,PRUNED
60,0.02501628669771746,2026-02-04 04:29:13.418428,2026-02-04 04:36:21.934900,0 days 00:07:08.516472,64,0.32539860697129824,0.006581811870502852,0.5361706705043426,4,2.2136402770308763,16,64,32,64,64,2,False,0.00041626012044869025,PRUNED
61,0.015576721196264564,2026-02-04 04:36:21.949024,2026-02-04 04:47:32.837723,0 days 00:11:10.888699,64,0.15809991038422944,0.0006590772832728422,0.5511117005065992,8,4.226926795517461,16,32,32,32,64,2,False,0.000239570906053915,COMPLETE
62,0.03142327360064756,2026-02-04 04:47:32.846376,2026-02-04 04:53:54.947942,0 days 00:06:22.101566,128,0.4027633273364234,0.00022901203787406015,0.6878226696578827,7,4.475227476887371,16,64,32,64,64,1,False,8.905498908214026e-05,PRUNED
63,0.01681135013212916,2026-02-04 04:53:54.956906,2026-02-04 05:06:28.657421,0 days 00:12:33.700515,64,0.2709352302654685,0.0024320056942062655,0.6534810805700747,5,1.1489877437804474,64,32,128,64,64,2,False,4.47321091542481e-05,COMPLETE
64,0.023150236418789723,2026-02-04 05:06:28.666286,2026-02-04 05:10:07.159743,0 days 00:03:38.493457,64,0.6542039515978862,0.0003772905519034425,0.6290003819381724,6,0.5398665079323632,16,16,32,64,64,2,True,2.1257538592014903e-05,PRUNED
65,0.021672716650384633,2026-02-04 05:10:07.168077,2026-02-04 05:18:47.068386,0 days 00:08:39.900309,64,0.15896077046773288,0.0016067415283210224,0.5647607248480598,7,4.6427699425675995,16,64,32,64,16,2,False,0.0003604130025178067,PRUNED
66,0.01802347619152833,2026-02-04 05:18:47.081986,2026-02-04 05:39:35.703183,0 days 00:20:48.621197,64,0.11963053345122501,0.0008779949387971267,0.5864908609866464,7,4.834672064064802,16,64,32,64,16,2,False,0.0006293812594254816,PRUNED
67,0.013258199572295442,2026-02-04 05:39:35.712491,2026-02-04 05:59:40.310662,0 days 00:20:04.598171,64,0.10344038262215287,0.0003048062786300805,0.6074083334890875,6,4.577312011427069,16,64,32,64,16,2,False,0.00018042571977429546,COMPLETE
68,0.024466043625807215,2026-02-04 05:59:40.322563,2026-02-04 06:06:23.158310,0 days 00:06:42.835747,64,0.23172830001333153,0.00025817240520944925,0.6638315937686645,4,4.515585776237297,16,64,32,64,64,2,False,0.00017168188172601818,PRUNED
69,0.014242042384347668,2026-02-04 06:06:23.166670,2026-02-04 06:20:19.962653,0 days 00:13:56.795983,32,0.10167153964002476,0.0005450791292453485,0.600237293178678,3,2.882951111464612,16,64,32,32,16,2,False,0.00023854803948294314,COMPLETE
70,0.02165463342527021,2026-02-04 06:20:19.974781,2026-02-04 06:27:32.788931,0 days 00:07:12.814150,32,0.3172169498983233,0.007966725466958039,0.609807542494233,3,2.8938172699194413,16,64,64,32,16,2,False,1.0447943548165838e-06,PRUNED
71,0.015462199219087348,2026-02-04 06:27:32.799484,2026-02-04 06:38:49.643248,0 days 00:11:16.843764,32,0.10413976880515649,0.0003278636051895304,0.6479180287160243,3,3.1820280093284317,16,32,32,32,16,2,False,0.0002897889095148334,COMPLETE
72,0.024862474760094306,2026-02-04 06:38:49.652814,2026-02-04 06:45:28.774283,0 days 00:06:39.121469,32,1.2252716623192994,0.003797890204013548,0.6027302953144402,3,4.888323813113915,16,64,32,32,16,1,True,0.00010712753924645351,PRUNED
73,0.028361065754007854,2026-02-04 06:45:28.783188,2026-02-04 06:51:36.341903,0 days 00:06:07.558715,32,0.25831872017227603,0.00010060119139436713,0.6725711301121802,4,3.8753707183210793,32,64,32,32,16,2,False,0.00022051946079953237,PRUNED
74,0.03052219679725666,2026-02-04 06:51:36.348037,2026-02-04 06:54:44.716076,0 days 00:03:08.368039,32,0.9666698263393878,0.00016571024902424858,0.6318806495212294,4,4.35099434259015,16,32,32,32,16,3,False,0.0005373149882453792,PRUNED
